ID,Date,pm10_mean,pm10_max,pm10_min
0,2020-06-01,5.625,10.0,2.0
1,2020-06-02,8.916666666666666,13.0,4.0
2,2020-06-03,9.294117647058824,17.0,0.0
3,2020-06-04,3.9285714285714284,7.0,1.0
4,2020-06-05,9.2,13.0,6.0
5,2020-06-06,7.923076923076923,10.0,7.0
6,2020-06-07,9.4,24.0,1.0
7,2020-06-08,9.19047619047619,17.0,4.0
8,2020-06-09,5.235294117647059,10.0,1.0
9,2020-06-10,8.578947368421053,17.0,3.0
10,2020-06-11,10.444444444444445,22.0,4.0
11,2020-06-12,9.61111111111111,18.0,0.0
12,2020-06-13,6.0,15.0,1.0
13,2020-06-14,6.4,12.0,4.0
14,2020-06-15,9.0,24.0,3.0
15,2020-06-16,10.363636363636363,13.0,7.0
16,2020-06-17,7.166666666666667,18.0,1.0
17,2020-06-18,13.227272727272727,22.0,7.0
18,2020-06-19,12.894736842105264,24.0,3.0
19,2020-06-20,7.933333333333334,26.0,1.0
20,2020-06-21,12.642857142857142,31.0,3.0
21,2020-06-22,61.09090909090909,621.0,2.0
22,2020-06-23,11.666666666666666,26.0,1.0
23,2020-06-24,13.055555555555555,27.0,5.0
24,2020-06-25,11.0,17.0,4.0
25,2020-06-26,7.857142857142857,13.0,5.0
26,2020-06-27,5.894736842105263,12.0,2.0
27,2020-06-28,8.818181818181818,34.0,2.0
28,2020-06-29,12.454545454545455,28.0,5.0
29,2020-06-30,9.8,15.0,2.0
30,2020-07-01,10.105263157894736,18.0,5.0
31,2020-07-02,7.3076923076923075,13.0,-5.0
32,2020-07-03,10.5,14.0,7.0
33,2020-07-04,13.35,29.0,3.0
34,2020-07-05,13.222222222222221,28.0,7.0
35,2020-07-06,7.7368421052631575,14.0,3.0
36,2020-07-07,8.333333333333334,15.0,4.0
37,2020-07-15,168.0,985.0,5.0
38,2020-07-16,6.315789473684211,18.0,0.0
39,2020-07-17,6.111111111111111,14.0,2.0
40,2020-07-18,4.875,8.0,2.0
41,2020-07-19,7.739130434782608,13.0,3.0
42,2020-07-20,9.8,12.0,6.0
43,2020-07-21,9.095238095238095,20.0,4.0
44,2020-07-22,6.7894736842105265,17.0,4.0
45,2020-07-23,5.863636363636363,9.0,3.0
46,2020-07-24,4.833333333333333,8.0,1.0
47,2020-07-25,3.0,7.0,-1.0
48,2020-07-26,3.1666666666666665,8.0,-2.0
49,2020-07-27,4.625,9.0,0.0
50,2020-07-28,4.888888888888889,13.0,0.0
51,2020-07-29,7.888888888888889,13.0,1.0
52,2020-07-30,9.3,16.0,6.0
53,2020-07-31,7.2,10.0,6.0
54,2020-08-03,7.2,9.0,5.0
55,2020-08-04,7.125,10.0,5.0
56,2020-08-05,9.5,14.0,6.0
57,2020-08-06,7.0476190476190474,15.0,2.0
58,2020-08-07,6.666666666666667,33.0,1.0
59,2020-08-08,4.666666666666667,12.0,-1.0
60,2020-08-09,7.25,23.0,1.0
61,2020-08-10,4.166666666666667,20.0,0.0
62,2020-08-11,6.7,12.0,3.0
63,2020-08-12,3.2,5.0,2.0
64,2020-08-17,12.545454545454545,14.0,10.0
65,2020-08-18,11.041666666666666,16.0,7.0
66,2020-08-19,6.041666666666667,12.0,0.0
67,2020-08-20,8.708333333333334,28.0,2.0
68,2020-08-21,10.791666666666666,26.0,4.0
69,2020-08-22,8.75,12.0,6.0
70,2020-08-23,7.6,13.0,3.0
71,2020-08-24,10.583333333333334,19.0,6.0
72,2020-08-25,8.875,15.0,6.0
73,2020-08-26,8.75,13.0,3.0
74,2020-08-27,7.25,13.0,2.0
75,2020-08-28,6.416666666666667,12.0,1.0
76,2020-08-29,7.75,15.0,5.0
77,2020-08-30,4.875,14.0,-1.0
78,2020-08-31,10.0,35.0,1.0
79,2020-09-01,5.75,16.0,1.0
