ID,Date,pm10_mean,pm25_mean,pm10_max,pm25_max,pm10_min,pm25_min
0,2020-10-05,45.333333333333336,19.0625,154.0,36.0,1.0,7.0
1,2020-10-06,40.35114503816794,19.365853658536587,142.0,36.0,7.0,1.0
2,2020-10-07,44.153153153153156,19.34285714285714,117.0,36.0,6.0,9.0
3,2020-10-08,40.59090909090909,17.82758620689655,100.0,37.0,3.0,5.0
4,2020-10-09,38.81060606060606,18.533333333333335,121.0,44.0,4.0,1.0
5,2020-10-10,33.47328244274809,18.333333333333332,142.0,45.0,1.0,3.0
6,2020-10-11,27.867469879518072,13.555555555555555,69.0,32.0,2.0,2.0
7,2020-10-12,34.397590361445786,16.178571428571427,87.0,36.0,4.0,4.0
8,2020-10-13,29.333333333333332,20.419354838709676,140.0,42.0,1.0,2.0
9,2020-10-14,21.447619047619046,7.5,79.0,13.0,2.0,2.0
10,2020-10-15,33.86206896551724,13.125,161.0,20.0,1.0,9.0
11,2020-10-16,33.89523809523809,12.043478260869565,127.0,24.0,1.0,1.0
12,2020-10-17,24.300884955752213,9.571428571428571,85.0,41.0,1.0,1.0
13,2020-10-18,40.91588785046729,25.214285714285715,123.0,76.0,7.0,2.0
14,2020-10-19,35.990990990990994,22.435897435897434,108.0,55.0,1.0,3.0
15,2020-10-20,33.81481481481482,15.727272727272727,106.0,42.0,1.0,2.0
16,2020-10-21,32.28455284552845,9.928571428571429,115.0,27.0,4.0,0.0
17,2020-10-22,43.94927536231884,21.15909090909091,123.0,77.0,5.0,1.0
18,2020-10-23,46.78832116788321,15.945945945945946,176.0,40.0,3.0,3.0
19,2020-10-24,45.18032786885246,20.157894736842106,175.0,38.0,5.0,2.0
20,2020-10-25,47.0,7.0,101.0,7.0,29.0,7.0
21,2021-04-04,41.0,15.266666666666667,63.0,25.0,15.0,5.0
22,2021-04-05,51.142857142857146,19.619718309859156,171.0,41.0,12.0,7.0
23,2021-04-06,50.11607142857143,22.96153846153846,223.0,48.0,8.0,7.0
24,2021-04-07,31.52857142857143,19.677419354838708,93.0,44.0,1.0,3.0
25,2021-04-08,50.8,24.887096774193548,138.0,47.0,7.0,9.0
26,2021-04-09,52.45238095238095,23.708333333333332,138.0,33.0,17.0,11.0
27,2021-04-10,47.21052631578947,25.452380952380953,146.0,57.0,4.0,10.0
28,2021-04-11,47.95348837209303,24.541666666666668,81.0,33.0,18.0,13.0
29,2021-04-12,58.515151515151516,34.416666666666664,129.0,60.0,23.0,21.0
30,2021-04-13,56.385714285714286,37.39473684210526,175.0,62.0,22.0,24.0
31,2021-04-14,52.36363636363637,27.5,223.0,50.0,9.0,6.0
32,2021-04-15,38.0,24.22222222222222,118.0,55.0,2.0,10.0
33,2021-04-16,58.853658536585364,30.642857142857142,125.0,38.0,19.0,13.0
34,2021-04-17,67.85714285714286,33.51428571428571,233.0,59.0,22.0,23.0
35,2021-04-18,56.7734375,30.526315789473685,232.0,58.0,1.0,8.0
36,2021-04-19,51.983050847457626,26.192307692307693,205.0,51.0,11.0,9.0
37,2021-04-20,60.663366336633665,27.79245283018868,209.0,47.0,15.0,15.0
38,2021-04-21,86.85714285714286,54.63333333333333,171.0,85.0,39.0,27.0
39,2021-04-22,69.12,41.2,168.0,76.0,11.0,15.0
40,2021-04-23,89.79411764705883,47.15555555555556,171.0,62.0,40.0,35.0
41,2021-04-24,68.76666666666667,44.63636363636363,107.0,61.0,35.0,30.0
42,2021-04-27,70.52631578947368,41.8974358974359,173.0,58.0,22.0,29.0
43,2021-04-28,68.35714285714286,36.09615384615385,161.0,55.0,21.0,20.0
44,2021-04-29,48.83132530120482,30.340425531914892,135.0,53.0,3.0,8.0
45,2021-04-30,44.49411764705882,31.04,135.0,66.0,3.0,17.0
46,2021-05-01,30.2,26.423076923076923,71.0,40.0,0.0,10.0
47,2021-05-02,45.1764705882353,28.569620253164558,147.0,55.0,0.0,4.0
48,2021-05-03,39.65263157894737,24.941176470588236,134.0,44.0,2.0,10.0
49,2021-05-04,55.8125,27.45,153.0,56.0,12.0,15.0
50,2021-05-05,51.416666666666664,30.946666666666665,119.0,66.0,7.0,9.0
51,2021-05-06,27.7421875,19.912280701754387,110.0,58.0,0.0,4.0
52,2021-05-07,31.164948453608247,17.346938775510203,78.0,54.0,1.0,3.0
53,2021-05-08,38.054545454545455,26.18,91.0,45.0,1.0,7.0
54,2021-05-09,45.294117647058826,28.5,100.0,50.0,2.0,10.0
55,2021-05-10,22.338709677419356,14.96875,73.0,30.0,2.0,5.0
56,2021-05-11,30.666666666666668,25.2,65.0,40.0,1.0,5.0
57,2021-05-12,28.244897959183675,19.244444444444444,125.0,75.0,1.0,0.0
58,2021-05-13,17.152542372881356,12.75,43.0,39.0,1.0,1.0
59,2021-05-14,19.033333333333335,9.6875,48.0,22.0,4.0,1.0
60,2021-05-15,29.5,17.455882352941178,79.0,42.0,2.0,1.0
61,2021-05-16,22.577464788732396,15.745098039215685,82.0,41.0,1.0,1.0
62,2021-05-17,26.395061728395063,18.178571428571427,70.0,36.0,1.0,4.0
63,2021-05-18,30.416666666666668,20.1875,74.0,35.0,5.0,10.0
64,2021-05-19,37.89523809523809,19.789473684210527,153.0,48.0,4.0,5.0
65,2021-05-20,35.592592592592595,25.451612903225808,108.0,40.0,4.0,10.0
66,2021-05-21,40.76315789473684,18.7,113.0,28.0,18.0,6.0
67,2021-05-22,36.753846153846155,18.833333333333332,94.0,28.0,12.0,7.0
