,Date,tavg,prcp,wdir,wspd,wpgt,pres
0,2018-11-28,11.2,3.6,188.4,22.1,51.8,1006.0
1,2018-11-29,11.5,7.8,202.0,26.4,57.4,1001.2
2,2018-11-30,8.8,0.0,224.9,16.6,37.0,1006.8
3,2018-12-01,10.1,6.5,198.1,15.2,33.3,1003.1
4,2018-12-02,12.7,4.1,233.2,20.0,38.9,997.2
5,2018-12-03,10.0,0.9,254.4,17.3,37.0,1001.5
6,2018-12-04,5.6,0.8,230.0,5.4,14.8,1020.3
7,2018-12-05,9.5,8.5,173.2,13.2,27.8,1013.6
8,2018-12-06,11.7,1.7,231.0,15.7,33.3,1013.5
9,2018-12-07,10.2,10.9,238.8,24.8,46.3,1004.1
10,2018-12-08,9.5,1.4,248.8,28.1,55.5,1002.6
11,2018-12-09,8.8,0.1,279.3,21.7,46.3,1009.6
12,2018-12-10,6.7,0.0,279.1,10.3,25.9,1026.6
13,2018-12-11,6.1,0.0,139.1,6.2,20.4,1024.7
14,2018-12-12,4.9,0.0,109.9,13.0,27.8,1021.4
15,2018-12-13,2.6,0.0,89.0,16.1,35.2,1017.6
16,2018-12-14,1.3,0.0,86.3,7.5,20.4,1022.9
17,2018-12-15,3.0,8.3,139.1,20.0,44.5,1010.9
18,2018-12-16,6.1,1.8,195.6,9.7,25.9,1006.1
19,2018-12-17,6.7,0.0,225.7,12.5,27.8,1015.8
20,2018-12-18,9.0,6.9,173.3,20.9,42.6,1008.4
21,2018-12-19,7.5,0.3,199.2,14.2,27.8,1004.3
22,2018-12-20,8.0,0.0,219.4,16.7,33.3,1005.3
23,2018-12-21,10.6,10.0,235.8,22.1,50.0,1001.6
24,2018-12-22,8.9,0.0,251.2,16.0,35.2,1015.1
25,2018-12-23,8.8,6.4,248.9,10.7,27.8,1017.9
26,2018-12-24,5.2,0.0,59.3,5.4,16.7,1031.5
27,2018-12-25,5.6,0.0,168.8,5.9,14.8,1034.0
28,2018-12-26,7.3,0.0,188.3,5.1,14.8,1030.3
29,2018-12-27,5.2,0.0,211.7,2.9,13.0,1026.5
30,2018-12-28,6.9,0.0,261.0,6.9,16.7,1030.4
31,2018-12-29,9.3,0.0,254.8,12.8,33.3,1032.5
32,2018-12-30,9.1,0.0,256.7,8.5,20.4,1035.1
33,2018-12-31,8.3,0.0,254.2,8.8,20.4,1036.0
34,2019-01-01,7.2,0.0,304.1,10.6,25.9,1036.2
35,2019-01-02,3.6,0.0,341.8,7.6,18.5,1043.4
36,2019-01-03,2.1,0.0,358.8,4.9,14.8,1043.4
37,2019-01-04,0.3,0.0,298.5,5.4,16.7,1042.3
38,2019-01-05,2.2,0.0,286.5,8.2,20.4,1039.5
39,2019-01-06,5.3,0.0,274.5,7.4,16.7,1037.2
40,2019-01-07,7.3,0.0,251.9,13.7,35.2,1032.8
41,2019-01-08,6.5,0.0,303.4,15.1,31.5,1028.6
42,2019-01-09,3.8,0.0,331.2,13.7,29.6,1030.2
43,2019-01-10,3.4,0.3,307.2,7.9,20.4,1030.9
44,2019-01-11,5.6,0.1,304.7,9.0,18.5,1030.4
45,2019-01-12,7.6,0.4,263.7,16.4,33.3,1023.5
46,2019-01-13,9.9,0.2,277.3,21.5,42.6,1015.4
47,2019-01-14,6.9,0.0,286.6,13.3,33.3,1020.5
48,2019-01-15,6.9,0.0,237.3,13.1,29.6,1019.2
49,2019-01-16,7.5,2.9,228.6,16.7,35.2,1005.6
50,2019-01-17,3.0,1.0,298.8,12.5,35.2,1011.2
51,2019-01-18,1.7,0.0,161.6,10.6,29.6,1015.5
52,2019-01-19,3.6,2.1,114.4,14.0,27.8,1009.0
53,2019-01-20,2.1,0.0,28.0,7.3,18.5,1017.8
54,2019-01-21,2.6,0.3,233.3,8.4,31.5,1021.2
55,2019-01-22,2.9,4.8,246.2,10.8,31.5,1002.9
56,2019-01-23,0.6,0.0,327.9,10.2,27.8,1003.0
57,2019-01-24,1.9,0.0,244.9,5.7,16.7,1011.5
58,2019-01-25,7.2,0.3,242.2,10.6,27.8,1014.1
59,2019-01-26,8.1,2.5,229.6,18.8,44.5,1003.1
60,2019-01-27,5.6,0.9,291.4,24.1,55.5,992.2
61,2019-01-28,2.6,0.0,291.6,14.5,38.9,1006.2
62,2019-01-29,2.2,2.4,201.3,8.7,22.2,999.6
63,2019-01-30,1.0,0.3,277.6,8.5,24.1,996.1
64,2019-01-31,0.2,0.1,117.3,12.9,37.0,990.9
65,2019-02-01,1.8,4.2,44.3,19.1,42.6,987.1
66,2019-02-02,1.5,0.0,335.7,16.5,33.3,1007.4
67,2019-02-03,1.3,0.0,245.0,10.5,27.8,1022.6
68,2019-02-04,6.4,5.7,223.6,16.0,38.9,1017.9
69,2019-02-05,6.1,1.7,169.3,11.5,31.5,1022.4
70,2019-02-06,8.8,3.2,203.3,10.9,29.6,1016.2
71,2019-02-07,6.9,2.3,235.9,25.3,55.5,1005.9
72,2019-02-08,8.8,7.0,212.0,29.5,64.8,998.7
73,2019-02-09,7.9,1.2,230.4,27.3,61.1,1000.0
74,2019-02-10,5.6,9.9,258.0,14.6,38.9,998.0
75,2019-02-11,5.0,0.2,287.3,8.7,24.1,1023.1
76,2019-02-12,6.6,0.0,219.4,9.8,27.8,1032.8
77,2019-02-13,7.7,0.0,196.4,10.3,27.8,1032.7
78,2019-02-14,6.1,0.0,153.0,7.2,20.4,1031.7
79,2019-02-15,6.8,0.0,166.3,8.5,24.1,1026.7
80,2019-02-16,9.4,0.0,196.6,12.0,27.8,1022.0
81,2019-02-17,9.8,0.0,182.3,14.5,33.3,1015.3
82,2019-02-18,8.0,1.6,206.2,12.2,27.8,1014.8
83,2019-02-19,7.3,0.0,226.3,13.7,31.5,1018.2
84,2019-02-20,9.1,0.1,207.8,15.4,33.3,1019.4
85,2019-02-21,9.8,0.0,220.9,11.3,25.9,1026.1
86,2019-02-22,8.5,0.0,153.7,6.6,18.5,1034.1
87,2019-02-23,10.1,0.0,135.0,8.3,22.2,1033.5
88,2019-02-24,8.5,0.0,84.5,5.9,20.4,1035.3
89,2019-02-25,8.5,0.0,97.0,6.2,18.5,1035.9
90,2019-02-26,9.5,0.0,92.4,6.6,20.4,1032.3
91,2019-02-27,9.5,0.0,206.4,5.8,20.4,1025.0
92,2019-02-28,8.5,2.0,247.7,12.7,31.5,1016.1
93,2019-03-01,8.9,0.1,265.1,9.4,22.2,1017.9
94,2019-03-02,10.1,1.6,213.4,18.5,44.5,1009.9
95,2019-03-03,10.2,9.6,216.5,26.3,57.4,998.3
96,2019-03-04,6.7,6.0,250.5,20.5,44.5,994.2
97,2019-03-05,7.5,3.0,217.7,17.9,37.0,1001.7
98,2019-03-06,10.0,6.9,187.1,22.0,40.8,989.0
99,2019-03-07,7.6,1.3,249.4,25.5,59.3,992.6
100,2019-03-08,7.2,1.5,241.4,16.4,35.2,1010.1
101,2019-03-09,8.9,0.4,249.2,21.8,51.8,1012.3
102,2019-03-10,7.2,9.0,254.1,24.9,64.8,1010.1
103,2019-03-11,6.5,0.1,261.5,21.4,42.6,1022.5
104,2019-03-12,7.3,7.9,225.9,28.3,51.8,1006.2
105,2019-03-13,8.1,0.5,265.3,30.2,59.3,1007.9
106,2019-03-14,9.7,4.2,258.2,26.2,53.7,1006.6
107,2019-03-15,11.4,3.4,253.8,25.5,51.8,1007.7
108,2019-03-16,10.5,5.8,228.1,30.4,63.0,1002.5
109,2019-03-17,6.5,0.9,266.3,20.8,44.5,1005.0
110,2019-03-18,6.6,0.8,275.1,11.0,24.1,1020.4
111,2019-03-19,8.5,0.0,237.1,8.6,20.4,1027.1
112,2019-03-20,10.6,0.0,232.6,10.1,22.2,1032.0
113,2019-03-21,10.5,0.0,236.6,7.0,16.7,1033.1
114,2019-03-22,10.3,0.0,207.9,10.7,25.9,1028.5
115,2019-03-23,8.6,0.0,9.1,8.7,20.4,1031.6
116,2019-03-24,8.2,0.0,324.4,8.7,25.9,1031.3
