,Date,parameter,value
0,2020-10-05,pm10,45.333333333333336
1,2020-10-05,pm25,19.0625
2,2020-10-06,pm10,40.35114503816794
3,2020-10-06,pm25,19.365853658536587
4,2020-10-07,pm10,44.153153153153156
5,2020-10-07,pm25,19.34285714285714
6,2020-10-08,pm10,40.59090909090909
7,2020-10-08,pm25,17.82758620689655
8,2020-10-09,pm10,38.81060606060606
9,2020-10-09,pm25,18.533333333333335
10,2020-10-10,pm10,33.47328244274809
11,2020-10-10,pm25,18.333333333333332
12,2020-10-11,pm10,27.867469879518072
13,2020-10-11,pm25,13.555555555555555
14,2020-10-12,pm10,34.397590361445786
15,2020-10-12,pm25,16.178571428571427
16,2020-10-13,pm10,29.333333333333332
17,2020-10-13,pm25,20.419354838709676
18,2020-10-14,pm10,21.447619047619046
19,2020-10-14,pm25,7.5
20,2020-10-15,pm10,33.86206896551724
21,2020-10-15,pm25,13.125
22,2020-10-16,pm10,33.89523809523809
23,2020-10-16,pm25,12.043478260869565
24,2020-10-17,pm10,24.300884955752213
25,2020-10-17,pm25,9.571428571428571
26,2020-10-18,pm10,40.91588785046729
27,2020-10-18,pm25,25.214285714285715
28,2020-10-19,pm10,35.990990990990994
29,2020-10-19,pm25,22.435897435897434
30,2020-10-20,pm10,33.81481481481482
31,2020-10-20,pm25,15.727272727272727
32,2020-10-21,pm10,32.28455284552845
33,2020-10-21,pm25,9.928571428571429
34,2020-10-22,pm10,43.94927536231884
35,2020-10-22,pm25,21.15909090909091
36,2020-10-23,pm10,46.78832116788321
37,2020-10-23,pm25,15.945945945945946
38,2020-10-24,pm10,45.18032786885246
39,2020-10-24,pm25,20.157894736842106
40,2020-10-25,pm10,47.0
41,2020-10-25,pm25,7.0
42,2021-04-04,pm10,41.0
43,2021-04-04,pm25,15.266666666666667
44,2021-04-05,pm10,51.142857142857146
45,2021-04-05,pm25,19.619718309859156
46,2021-04-06,pm10,50.11607142857143
47,2021-04-06,pm25,22.96153846153846
48,2021-04-07,pm10,31.52857142857143
49,2021-04-07,pm25,19.677419354838708
50,2021-04-08,pm10,50.8
51,2021-04-08,pm25,24.887096774193548
52,2021-04-09,pm10,52.45238095238095
53,2021-04-09,pm25,23.708333333333332
54,2021-04-10,pm10,47.21052631578947
55,2021-04-10,pm25,25.452380952380953
56,2021-04-11,pm10,47.95348837209303
57,2021-04-11,pm25,24.541666666666668
58,2021-04-12,pm10,58.515151515151516
59,2021-04-12,pm25,34.416666666666664
60,2021-04-13,pm10,56.385714285714286
61,2021-04-13,pm25,37.39473684210526
62,2021-04-14,pm10,52.36363636363637
63,2021-04-14,pm25,27.5
64,2021-04-15,pm10,38.0
65,2021-04-15,pm25,24.22222222222222
66,2021-04-16,pm10,58.853658536585364
67,2021-04-16,pm25,30.642857142857142
68,2021-04-17,pm10,67.85714285714286
69,2021-04-17,pm25,33.51428571428571
70,2021-04-18,pm10,56.7734375
71,2021-04-18,pm25,30.526315789473685
72,2021-04-19,pm10,51.983050847457626
73,2021-04-19,pm25,26.192307692307693
74,2021-04-20,pm10,60.663366336633665
75,2021-04-20,pm25,27.79245283018868
76,2021-04-21,pm10,86.85714285714286
77,2021-04-21,pm25,54.63333333333333
78,2021-04-22,pm10,69.12
79,2021-04-22,pm25,41.2
80,2021-04-23,pm10,89.79411764705883
81,2021-04-23,pm25,47.15555555555556
82,2021-04-24,pm10,68.76666666666667
83,2021-04-24,pm25,44.63636363636363
84,2021-04-27,pm10,70.52631578947368
85,2021-04-27,pm25,41.8974358974359
86,2021-04-28,pm10,68.35714285714286
87,2021-04-28,pm25,36.09615384615385
88,2021-04-29,pm10,48.83132530120482
89,2021-04-29,pm25,30.340425531914892
90,2021-04-30,pm10,44.49411764705882
91,2021-04-30,pm25,31.04
92,2021-05-01,pm10,30.2
93,2021-05-01,pm25,26.423076923076923
94,2021-05-02,pm10,45.1764705882353
95,2021-05-02,pm25,28.569620253164558
96,2021-05-03,pm10,39.65263157894737
97,2021-05-03,pm25,24.941176470588236
98,2021-05-04,pm10,55.8125
99,2021-05-04,pm25,27.45
100,2021-05-05,pm10,51.416666666666664
101,2021-05-05,pm25,30.946666666666665
102,2021-05-06,pm10,27.7421875
103,2021-05-06,pm25,19.912280701754387
104,2021-05-07,pm10,31.164948453608247
105,2021-05-07,pm25,17.346938775510203
106,2021-05-08,pm10,38.054545454545455
107,2021-05-08,pm25,26.18
108,2021-05-09,pm10,45.294117647058826
109,2021-05-09,pm25,28.5
110,2021-05-10,pm10,22.338709677419356
111,2021-05-10,pm25,14.96875
112,2021-05-11,pm10,30.666666666666668
113,2021-05-11,pm25,25.2
114,2021-05-12,pm10,28.244897959183675
115,2021-05-12,pm25,19.244444444444444
116,2021-05-13,pm10,17.152542372881356
117,2021-05-13,pm25,12.75
118,2021-05-14,pm10,19.033333333333335
119,2021-05-14,pm25,9.6875
120,2021-05-15,pm10,29.5
121,2021-05-15,pm25,17.455882352941178
122,2021-05-16,pm10,22.577464788732396
123,2021-05-16,pm25,15.745098039215685
124,2021-05-17,pm10,26.395061728395063
125,2021-05-17,pm25,18.178571428571427
126,2021-05-18,pm10,30.416666666666668
127,2021-05-18,pm25,20.1875
128,2021-05-19,pm10,37.89523809523809
129,2021-05-19,pm25,19.789473684210527
130,2021-05-20,pm10,35.592592592592595
