date,pm10_mean,pm25_mean,pm10_max,pm25_max,pm10_min,pm25_min
2020-04-05,30.86046511627907,16.761904761904766,47.0,27.0,8.0,8.0
2020-04-06,41.19148936170213,23.25,79.0,41.0,24.0,10.0
2020-04-07,37.88095238095238,21.0,60.0,31.0,21.0,12.0
2020-04-08,47.48936170212766,27.625,88.0,59.0,23.0,12.0
2020-04-09,39.78260869565217,25.125,59.0,33.0,25.0,15.0
2020-04-10,39.29787234042553,24.375,61.0,34.0,20.0,14.0
2020-04-11,44.78723404255321,22.08333333333333,117.0,35.0,16.0,5.0
2020-04-12,41.76595744680851,18.541666666666668,93.0,30.0,23.0,5.0
2020-04-13,45.744680851063826,27.58333333333333,77.0,49.0,21.0,16.0
2020-04-14,56.80851063829788,28.95833333333333,100.0,53.0,24.0,16.0
2020-04-15,56.35,30.894736842105264,92.0,52.0,11.0,11.0
2020-04-16,57.255319148936174,34.166666666666664,103.0,52.0,25.0,22.0
2020-04-17,54.638297872340424,30.83333333333333,87.0,47.0,28.0,22.0
2020-04-18,57.244444444444454,38.73913043478261,86.0,58.0,34.0,23.0
2020-04-19,56.17777777777778,38.34782608695652,84.0,55.0,34.0,25.0
2020-04-20,54.37209302325582,28.04545454545455,142.0,46.0,29.0,11.0
2020-04-21,75.17777777777778,28.217391304347824,134.0,41.0,35.0,16.0
2020-04-22,41.106382978723396,27.25,71.0,45.0,3.0,15.0
2020-04-23,34.46808510638298,20.45833333333333,70.0,36.0,8.0,6.0
2020-04-24,45.72727272727273,24.5,68.0,47.0,27.0,11.0
2020-04-25,42.15,20.9,74.0,46.0,16.0,5.0
2020-04-26,29.14814814814815,21.846153846153847,51.0,37.0,9.0,12.0
2020-04-27,26.181818181818183,14.909090909090908,55.0,30.0,8.0,4.0
2020-04-28,36.57142857142857,19.40909090909091,70.0,42.0,11.0,4.0
2020-04-29,34.59090909090909,19.666666666666668,61.0,36.0,16.0,6.0
2020-04-30,26.936170212765962,12.434782608695652,80.0,34.0,3.0,0.0
2020-05-01,23.21276595744681,16.869565217391305,58.0,39.0,4.0,2.0
2020-05-02,30.837209302325586,22.363636363636363,54.0,38.0,10.0,8.0
2020-05-03,26.931034482758623,14.0,68.0,24.0,11.0,1.0
2020-05-04,31.102564102564106,15.65,74.0,39.0,9.0,5.0
2020-05-05,35.5,17.318181818181817,75.0,31.0,14.0,7.0
2020-05-06,29.357142857142854,19.545454545454547,72.0,50.0,6.0,5.0
2020-05-07,39.38095238095238,30.8,73.0,55.0,5.0,0.0
2020-05-08,32.46666666666667,23.56521739130435,61.0,41.0,18.0,10.0
2020-05-09,38.255319148936174,29.0,63.0,45.0,14.0,7.0
2020-05-10,23.574468085106385,18.217391304347824,42.0,33.0,1.0,3.0
2020-05-11,23.085106382978722,18.956521739130434,54.0,37.0,2.0,7.0
2020-05-12,27.33333333333333,20.25,38.0,25.0,18.0,15.0
2020-05-13,42.25,34.875,63.0,45.0,27.0,23.0
2020-05-14,47.84,37.153846153846146,78.0,46.0,28.0,27.0
2020-05-15,44.27906976744186,30.272727272727273,67.0,41.0,28.0,15.0
2020-05-16,31.837209302325586,20.956521739130434,60.0,33.0,13.0,4.0
2020-05-17,34.212765957446805,24.41666666666667,58.0,39.0,15.0,10.0
2020-05-18,41.57142857142857,24.04545454545455,100.0,41.0,18.0,11.0
2020-05-19,33.65957446808511,22.79166666666667,60.0,37.0,5.0,2.0
2020-05-20,54.8,36.130434782608695,103.0,68.0,28.0,11.0
2020-05-21,66.29787234042553,47.95833333333334,103.0,74.0,38.0,29.0
2020-05-22,57.72727272727273,37.34782608695652,90.0,57.0,28.0,16.0
2020-05-23,43.1063829787234,26.75,73.0,45.0,25.0,10.0
2020-05-24,42.40425531914894,28.79166666666667,72.0,43.0,26.0,12.0
2020-05-25,35.333333333333336,21.347826086956523,64.0,36.0,18.0,6.0
