date,tavg,prcp,wdir,wspd,wpgt,pres
2020-11-29,6.0,0.0,25.3,7.3,18.5,1026.2
2020-11-30,6.6,0.6,264.0,14.8,35.2,1024.1
2020-12-01,4.0,0.0,327.3,15.7,31.5,1025.4
2020-12-02,3.3,0.5,270.1,8.6,20.4,1018.2
2020-12-03,4.2,11.0,192.4,10.3,27.8,990.3
2020-12-04,3.4,4.0,260.3,17.3,35.2,977.3
2020-12-05,3.5,0.0,106.6,13.8,27.8,991.5
2020-12-06,2.0,0.0,13.5,11.0,25.9,1001.8
2020-12-07,1.1,0.7,25.1,6.5,16.7,999.3
2020-12-08,1.2,0.1,270.9,6.1,18.5,1003.6
2020-12-09,3.7,3.6,231.1,11.2,25.9,1006.0
2020-12-10,5.8,1.2,137.3,14.7,27.8,999.4
2020-12-11,7.6,6.9,211.1,9.6,27.8,987.3
2020-12-12,5.9,1.1,286.7,13.3,33.3,999.1
2020-12-13,5.7,8.0,180.1,16.1,37.0,1002.5
2020-12-14,9.6,5.1,201.5,18.3,37.0,999.2
2020-12-15,7.7,0.1,191.7,12.7,27.8,1005.8
2020-12-16,7.9,3.5,167.6,16.8,37.0,1007.4
2020-12-17,7.5,0.0,209.5,14.4,33.3,1013.9
2020-12-18,10.3,0.6,187.2,23.6,42.6,1010.8
2020-12-19,9.2,4.9,194.1,20.2,38.9,1005.4
2020-12-20,7.1,0.0,215.4,16.3,37.0,1012.5
2020-12-21,10.2,12.1,198.4,20.5,42.6,1007.1
2020-12-22,9.9,5.5,232.2,13.2,46.3,1010.9
2020-12-23,9.5,19.2,188.3,10.8,29.6,1005.2
2020-12-24,3.8,3.3,339.1,24.4,42.6,1020.4
2020-12-25,0.8,0.0,305.3,15.1,38.9,1030.5
2020-12-26,5.7,0.0,232.6,23.2,64.8,1016.2
2020-12-27,5.6,10.4,234.4,23.4,70.4,977.5
2020-12-28,1.5,0.0,68.3,9.1,25.9,974.4
2020-12-29,1.2,0.2,310.3,11.4,24.1,989.8
2020-12-30,1.1,0.0,287.2,9.3,22.2,1002.5
2020-12-31,-0.8,0.0,322.2,8.5,22.2,1005.6
2021-01-01,-0.4,0.5,304.7,9.2,20.4,1011.8
2021-01-02,1.2,0.1,338.2,11.2,24.1,1016.2
2021-01-03,1.2,0.3,17.7,13.7,29.6,1017.7
2021-01-04,1.8,2.6,24.3,20.4,38.9,1019.8
2021-01-05,1.1,2.4,13.6,19.2,35.2,1020.4
2021-01-06,1.4,2.2,8.1,13.6,29.6,1019.9
2021-01-07,-1.3,0.0,305.2,10.1,22.2,1018.7
2021-01-08,-0.9,0.0,327.7,6.8,18.5,1018.8
2021-01-09,-0.6,0.0,349.9,7.2,18.5,1026.3
2021-01-10,0.2,0.0,260.1,9.1,20.4,1026.1
2021-01-11,4.1,0.7,248.1,20.1,40.8,1018.0
2021-01-12,5.5,5.0,304.3,15.7,44.5,1014.0
2021-01-13,3.8,4.1,260.8,8.8,20.4,1018.7
2021-01-14,4.2,20.5,86.1,13.9,33.3,1017.0
2021-01-15,0.5,0.0,18.2,8.3,24.1,1029.8
2021-01-16,3.6,6.7,218.2,16.4,35.2,1020.1
2021-01-17,3.7,0.0,290.1,15.6,33.3,1023.4
2021-01-18,4.1,2.7,230.2,14.4,35.2,1021.1
2021-01-19,9.5,6.4,229.6,28.2,48.2,1003.9
2021-01-20,9.5,10.0,202.9,30.2,53.7,988.0
2021-01-21,5.3,1.3,239.0,24.0,55.5,984.6
2021-01-22,2.5,1.3,238.8,10.2,24.1,992.1
2021-01-23,0.6,0.0,278.3,10.0,25.9,995.5
2021-01-24,-1.0,7.7,75.1,11.7,31.5,996.9
2021-01-25,-0.3,0.0,299.7,15.1,31.5,1009.5
2021-01-26,1.4,4.6,205.8,12.5,29.6,1015.5
2021-01-27,7.1,3.0,243.0,10.0,24.1,1011.0
2021-01-28,10.1,8.9,235.1,18.9,46.3,1002.0
2021-01-29,8.6,8.2,264.4,20.8,42.6,998.1
2021-01-30,4.1,12.4,84.4,19.6,42.6,997.6
2021-01-31,1.6,1.7,72.6,15.7,35.2,998.7
2021-02-01,2.9,0.8,21.2,10.9,25.9,996.9
2021-02-02,8.4,6.9,202.9,17.2,35.2,995.2
2021-02-03,7.3,4.0,240.6,13.7,33.3,996.8
2021-02-04,5.7,5.6,166.8,11.1,24.1,1008.7
