date,tavg,prcp,wdir,wspd,wpgt,pres
2020-04-01,20.3,0.5,72.1,10.9,,1006.2
2020-04-02,20.2,1.0,89.2,13.7,,1006.2
2020-04-03,18.3,2.0,90.9,15.5,,1006.3
2020-04-04,20.1,1.4,94.9,9.9,,1005.4
2020-04-05,21.7,,123.1,10.5,,
2020-04-06,21.4,0.3,299.0,7.5,,1006.0
2020-04-07,22.4,0.0,110.7,11.2,,1008.3
2020-04-08,21.9,0.0,296.7,10.6,,1007.8
2020-04-09,21.8,0.0,152.9,10.9,,1006.8
2020-04-10,22.3,0.0,274.7,6.8,,1005.7
2020-04-11,22.9,0.0,222.6,10.2,,1004.1
2020-04-12,22.7,0.0,209.9,14.7,,1003.9
2020-04-13,22.3,0.0,118.6,11.3,,1006.3
2020-04-14,21.9,0.0,104.7,10.7,,1005.5
2020-04-15,22.0,0.0,267.5,9.6,,1006.0
2020-04-16,22.8,0.2,124.6,11.2,,1006.4
2020-04-17,22.1,0.0,50.9,10.2,,1007.7
2020-04-18,22.1,0.1,26.3,8.5,,1007.0
2020-04-19,22.4,0.2,126.6,9.5,,1005.3
2020-04-20,22.6,0.0,82.7,11.5,,1004.5
2020-04-21,20.2,3.8,325.1,16.0,,1005.9
2020-04-22,22.5,1.4,272.5,8.8,,1006.2
2020-04-23,22.6,0.7,216.7,10.5,,1004.9
2020-04-24,21.3,0.0,256.5,10.8,,1005.5
2020-04-25,19.5,0.9,232.2,11.0,,1007.9
2020-04-26,20.5,2.5,13.0,13.0,,1012.1
2020-04-27,20.4,0.1,342.9,11.7,,1012.7
2020-04-28,20.0,0.1,33.7,13.7,,1010.3
2020-04-29,19.6,0.0,21.2,15.7,,1009.3
2020-04-30,17.2,1.2,347.2,14.2,,1012.5
2020-05-01,17.2,0.0,327.7,7.0,,1013.7
2020-05-02,19.4,0.0,328.2,6.5,,1011.7
2020-05-03,21.5,0.0,341.1,8.3,,1009.0
2020-05-04,21.3,0.0,42.6,12.3,,1006.2
2020-05-05,19.4,0.6,49.2,14.6,,1006.2
2020-05-06,17.4,3.4,21.3,12.6,,1010.4
2020-05-07,17.4,,313.5,14.8,,1013.1
2020-05-08,18.5,2.4,354.5,10.5,,1010.9
2020-05-09,17.8,4.9,108.5,9.8,,1010.6
2020-05-10,17.8,3.5,348.4,12.3,,1012.9
2020-05-11,18.2,0.8,356.8,9.7,,1013.3
2020-05-12,19.7,0.0,252.7,7.5,,1010.0
2020-05-13,21.9,0.0,217.7,8.6,,1006.7
2020-05-14,21.9,0.0,218.8,9.7,,1005.3
2020-05-15,22.1,0.0,209.8,8.5,,1004.0
2020-05-16,22.3,,226.0,10.8,,1003.2
2020-05-17,21.9,0.5,79.8,10.4,,1005.3
2020-05-18,20.3,,68.2,12.1,,1008.0
2020-05-19,21.2,0.0,324.8,8.2,,1007.0
2020-05-20,21.8,0.0,310.8,6.8,,1004.8
2020-05-21,22.0,,117.1,10.4,,1003.8
2020-05-22,22.0,,134.9,10.9,,1004.3
2020-05-23,21.6,,251.5,9.8,,1003.8
2020-05-24,22.5,0.0,220.3,10.0,,1002.6
2020-05-25,23.5,,199.8,11.4,,1000.8
2020-05-26,23.3,0.0,139.9,12.8,,1001.7
2020-05-27,21.7,2.4,325.3,11.4,,1005.6
2020-05-28,19.9,12.0,38.8,13.6,,1007.6
2020-05-29,17.5,1.2,28.4,16.3,,1010.3
2020-05-30,17.0,0.0,346.2,14.8,,1011.2
2020-05-31,17.7,,25.9,11.8,,1010.0
2020-06-01,18.8,0.0,347.4,11.3,,1009.3
2020-06-02,19.9,0.0,11.4,15.9,,1008.7
2020-06-03,18.9,0.0,345.1,12.4,,1007.7
2020-06-04,20.1,0.0,12.8,15.5,,1005.6
