date,tavg,prcp,wdir,wspd,wpgt,pres
2020-01-01,2.0,1.2,208.4,27.0,,980.1
2020-01-02,-2.5,2.1,280.6,26.3,,978.1
2020-01-03,-4.6,0.5,337.9,21.6,,1005.8
2020-01-04,1.9,22.3,125.5,35.7,,997.3
2020-01-05,2.8,0.0,179.2,26.7,,983.1
2020-01-06,2.3,11.5,277.8,25.0,,968.1
2020-01-07,0.7,8.2,140.1,43.5,,955.0
2020-01-08,-0.8,0.0,242.8,45.0,,976.6
2020-01-09,-2.3,0.1,224.7,41.5,,982.0
2020-01-10,1.6,10.4,120.4,29.9,,968.6
2020-01-11,0.1,1.0,198.7,27.4,,965.8
2020-01-12,-2.7,9.3,75.8,28.4,,971.8
2020-01-13,-0.2,0.0,61.6,18.8,,970.9
2020-01-14,1.8,0.0,23.7,38.6,,963.5
2020-01-15,1.1,0.0,28.9,19.2,,972.9
2020-01-16,2.4,1.4,137.0,16.4,,983.7
2020-01-17,-0.2,0.2,222.7,9.8,,1000.6
2020-01-18,-0.7,0.7,140.3,11.8,,1011.7
2020-01-19,5.8,15.8,186.3,43.1,,994.0
2020-01-20,1.3,1.3,222.8,38.7,,1007.3
2020-01-21,2.2,8.8,155.2,17.5,,1019.1
2020-01-22,5.0,10.9,193.7,36.9,,1003.7
2020-01-23,-0.7,0.0,242.9,53.6,,995.8
2020-01-24,0.2,1.9,132.2,23.8,,997.3
2020-01-25,2.0,6.8,97.0,29.2,,975.7
2020-01-26,1.8,1.0,74.5,20.1,,967.6
2020-01-27,0.6,0.0,85.4,17.6,,968.8
2020-01-28,-0.0,0.0,92.0,15.5,,981.9
2020-01-29,-2.6,0.0,90.5,7.0,,986.8
2020-01-30,-1.4,0.0,31.1,8.7,,985.7
2020-01-31,-0.4,0.0,37.2,16.1,,987.0
2020-02-01,-3.9,0.0,101.0,5.2,,992.9
2020-02-02,-2.6,,79.2,14.7,,993.5
2020-02-03,0.5,2.1,76.9,11.4,,995.8
2020-02-04,2.7,13.7,147.7,18.3,,1006.4
2020-02-05,7.2,17.7,179.7,31.8,,999.5
2020-02-06,6.6,1.2,164.6,37.2,,995.8
2020-02-07,6.2,16.4,133.9,37.3,,977.5
2020-02-08,2.2,0.0,130.3,23.2,,965.0
2020-02-09,-2.3,0.0,75.6,9.9,,957.8
2020-02-10,-0.2,0.0,340.0,30.3,,964.0
2020-02-11,-0.9,0.0,17.1,18.9,,983.7
2020-02-12,-5.0,0.0,87.7,8.4,,994.7
2020-02-13,-3.2,0.1,78.3,28.7,,996.7
2020-02-14,2.1,10.1,101.5,49.0,,958.6
2020-02-15,1.9,0.1,56.5,29.2,,955.3
2020-02-16,3.4,0.0,13.1,21.5,,949.2
2020-02-17,2.5,0.0,20.2,20.5,,973.7
2020-02-18,0.3,0.8,113.6,6.8,,990.4
2020-02-19,-1.1,0.8,52.7,22.0,,979.8
2020-02-20,1.4,0.1,24.8,20.5,,965.9
2020-02-21,0.9,0.0,47.5,13.7,,962.7
2020-02-22,-1.1,0.0,359.0,8.8,,978.1
2020-02-23,-0.3,0.8,220.2,20.6,,996.7
2020-02-24,0.3,0.8,160.7,11.5,,991.9
2020-02-25,-1.6,0.0,83.5,8.9,,986.5
2020-02-26,-1.8,0.0,71.3,13.2,,994.1
2020-02-27,-3.4,3.6,80.5,32.5,,992.4
2020-02-28,-0.2,0.3,90.3,23.4,,982.1
2020-02-29,-0.8,2.3,78.3,7.8,,979.3
2020-03-01,2.3,0.0,87.5,31.1,,977.5
2020-03-02,1.8,0.0,98.7,37.5,,986.8
2020-03-03,-0.5,0.3,122.6,16.3,,986.9
2020-03-04,-1.8,0.0,88.9,14.4,,982.4
2020-03-05,-1.0,0.0,30.8,18.2,,989.9
2020-03-06,-2.3,0.0,69.3,15.7,,1001.8
2020-03-07,-0.5,0.0,78.8,22.6,,988.7
2020-03-08,-1.8,0.0,58.2,8.1,,990.8
2020-03-09,-2.2,0.0,78.2,25.8,,992.0
2020-03-10,1.8,0.0,69.3,22.0,,978.9
2020-03-11,0.8,0.2,34.0,35.4,,982.9
2020-03-12,-1.8,0.6,61.0,8.7,,1001.9
2020-03-13,-2.0,1.0,23.1,11.6,,1003.0
2020-03-14,-2.5,0.0,9.1,10.5,,1002.3
2020-03-15,-2.2,0.9,124.8,19.8,,997.2
2020-03-16,2.1,15.5,120.7,19.9,,968.7
2020-03-17,0.8,0.1,10.9,16.1,,981.4
2020-03-18,-0.8,1.3,348.7,24.0,,1009.5
2020-03-19,-3.0,0.0,77.9,14.6,,1029.2
2020-03-20,3.8,23.1,157.1,34.8,,1015.8
2020-03-21,-0.2,2.1,196.6,15.8,,1004.5
2020-03-22,1.9,14.4,161.6,32.2,,988.7
2020-03-23,2.8,0.4,196.9,39.0,,970.6
2020-03-24,1.8,2.5,194.7,22.6,,988.3
2020-03-25,1.8,2.3,169.3,15.5,,1002.0
2020-03-26,0.5,1.4,217.9,24.8,,1009.8
2020-03-27,-0.0,0.1,277.5,23.8,,1027.6
2020-03-28,1.0,0.0,166.2,10.3,,1047.9
2020-03-29,5.3,1.3,214.6,21.9,,1046.3
2020-03-30,5.4,2.0,216.3,24.6,,1036.4
2020-03-31,5.3,7.0,235.7,32.1,,1020.9
2020-04-01,-0.5,0.5,287.5,35.7,,1008.6
2020-04-02,-1.1,0.0,16.2,17.2,,1014.1
2020-04-03,-3.4,0.0,67.9,15.7,,1012.9
2020-04-04,-3.2,1.1,63.7,29.5,,1006.3
2020-04-05,-0.7,18.8,34.8,24.9,,986.3
2020-04-06,3.4,6.5,155.5,38.2,,968.6
2020-04-07,1.2,0.4,167.8,16.1,,995.1
2020-04-08,0.4,0.0,49.0,7.5,,1016.9
2020-04-09,1.7,0.0,83.5,10.7,,1023.0
2020-04-10,2.7,5.1,69.0,16.9,,1015.4
2020-04-11,6.5,0.2,57.4,9.7,,1007.8
2020-04-12,4.1,0.2,126.0,17.4,,1027.3
2020-04-13,6.1,16.1,190.7,26.0,,1015.3
2020-04-14,4.3,0.8,218.4,31.2,,1004.9
2020-04-15,3.3,0.6,241.3,22.3,,1006.9
2020-04-16,4.4,0.9,172.1,13.9,,1017.5
2020-04-17,7.5,1.0,150.4,25.9,,1014.9
2020-04-18,5.4,12.0,156.4,29.0,,1009.7
2020-04-19,6.7,11.9,123.8,22.4,,1012.7
2020-04-20,8.7,0.8,131.2,26.8,,1018.1
2020-04-21,7.8,4.1,126.3,27.3,,1023.7
2020-04-22,5.9,0.0,149.4,12.5,,1030.0
2020-04-23,6.2,0.0,129.5,14.7,,1026.1
